etsy_listing_id,etsy_title,net_2026,units_2026,first_sold,launched_2026,signature,shopify_category_match,shopify_candidates_in_category,best_shopify_handle,best_shopify_title,title_similarity,verdict,human_ruling
4444342019,Personalized Baby Name Picture Frame Gift Idea Custom Newborn Photo Frame Cottagecore Floral Toile Nursery Decor Holds 4 x 6 Photo,4391.22,189,2026-01-25,True,baby,True,14,personalized-new-baby-picture-frame-with-25495,"Personalized New Baby Picture Frame with Baby Name – Custom Baby Gift for New Parents, 4x6 Keepsake Frame, Nursery Shelf Decor",0.36,LIKELY ON SHOPIFY,
805343785,Personalized Grandpa Picture Frame: Custom Father's Day Gift for Grandfather,3083.06,132,2024-01-16,False,grandpa,True,7,first-fathers-day-as-grandpa-gift-44651,First Father’s Day as Grandpa Gift    Gift Grandpa  I Love My Grandpa  Grandpa Personalized Gift  4x6 Picture Frame,0.29,"CATEGORY EXISTS, DESIGN UNCERTAIN",
782459715,Godfather Gift Uncle Gift Gift For Godfather Godfather Picture Frame Personalized Frame Uncle Promoted to Godfather,1495.55,63,2024-01-02,False,godfather|uncle,True,1,the-best-uncles-get-promoted-to-godfather-96763,"The Best Uncles Get Promoted to Godfather – Personalized Uncle Gift, Godfather Proposal Frame, Custom Picture Frame from Niece or Nephew",0.3,"CATEGORY EXISTS, DESIGN UNCERTAIN",
226797672,Love At First Sight Picture Frame  Ultrasound Picture Frame  New Baby Gift  Sonogram Frame,1097.13,45,2024-01-04,False,baby,True,14,love-at-first-sight-picture-frame-97672,Love At First Sight Picture Frame  Ultrasound Picture Frame  New Baby Gift  Sonogram Frame,1.0,LIKELY ON SHOPIFY,
723490021,Grandpa Gift Idea Father’s Day Gift For Grandpa From Grandkids Personalized Picture Frame Papa Birthday Gift Custom Photo Frame Fathers Day,933.89,41,2024-01-01,False,grandpa,True,7,first-fathers-day-as-grandpa-gift-44651,First Father’s Day as Grandpa Gift    Gift Grandpa  I Love My Grandpa  Grandpa Personalized Gift  4x6 Picture Frame,0.3,"CATEGORY EXISTS, DESIGN UNCERTAIN",
4466626572,Twin Baby Picture Frame Gift Idea Twins Nursery Decor Twin Baby Shower Gift Personalized Twin Photo Frame Twin Mom Gift,903.89,37,2026-03-14,True,baby|mom|twin,False,0,personalized-new-baby-picture-frame-with-25495,"Personalized New Baby Picture Frame with Baby Name – Custom Baby Gift for New Parents, 4x6 Keepsake Frame, Nursery Shelf Decor",0.3,NO SHOPIFY EQUIVALENT,
4445598230,Baby Shower Gift Ultrasound Picture Frame Hello Little One Pregnancy Announcement Frame New Baby Keepsake Nursery Decor,885.63,39,2026-02-06,True,baby,True,14,pregnancy-gift-sonogram-ultrasound-97805,Pregnancy Gift Sonogram Ultrasound Picture Frame Sonogram Frame Pregnancy Announcement Grandparents Baby Countdown Frame Ultrasound Gifts,0.31,"CATEGORY EXISTS, DESIGN UNCERTAIN",
689488538,Godmother Gift  Godmothers Are A Blessing  Gift For Godmother  Godmother Picture Frame  Personalized Frame  Baptism Gift,687.94,31,2024-01-10,False,godmother|religious,True,1,godmother-gift-godmother-frame-i-love-40447,Godmother Gift   Godmother Frame  I Love My Godmother 4 x 6 Personalized Frame  Godmother Frame Baptism Gift 1st Communion,0.29,"CATEGORY EXISTS, DESIGN UNCERTAIN",
1814909903,"Aunt Mother’s Day Gift for Aunt, Auntie Custom Personalized Picture Frame  For Sister New Aunt From Niece Nephew",682.62,29,2024-11-06,False,aunt|mom|sibling,False,0,aunt-gift-personalized-aunt-picture-frame-43453,Aunt Gift Personalized Aunt Picture Frame Custom Gift For Aunt Birthday Gift For Sister New Aunt From Niece and Nephew 4x6 Photo Custom,0.56,NO SHOPIFY EQUIVALENT,
4299452054,"Graduation Picture Frame for College Girls – Personalized Grad Gift for Best Friends, Roommates, or Class of 2025 Custom Graduation Keepsake",659.23,29,2025-05-05,False,graduation,True,1,graduation-picture-frame-for-college-52054,"Graduation Picture Frame for College Girls – Personalized Grad Gift for Best Friends, Roommates, or Class of 2025 Custom Graduation Keepsake",1.0,LIKELY ON SHOPIFY,
